id_user;email;jhi_password;balance;last_name;first_name;cnp
1;Wilber.Denesik@yahoo.com;Strategist bypass Mobility;26661;Streich;Agustin;generate collaborative
2;Krista_McLaughlin52@hotmail.com;Grass-roots;60861;Weber;Kelley;Connecticut Knolls generation
3;Granville_McCullough@hotmail.com;Unbranded;8174;Brakus;Clementine;Plastic
4;Valentine.Walsh66@gmail.com;alliance Lebanese models;44104;Purdy;Aubrey;Tools Coordinator Loan
5;Kayli6@yahoo.com;drive;58421;McKenzie;Luciano;array
6;Abby.Lesch79@hotmail.com;internet Polarised;40795;Abernathy;Marion;Manager communities
7;Roger_Jacobs23@gmail.com;copy;91332;Rau;Mercedes;Forint
8;Treva96@gmail.com;User-friendly Colon SAS;58079;Ebert;Sadie;Locks
9;Terence.Medhurst45@hotmail.com;Frozen back-end Tactics;48371;Bernier;Yolanda;Robust
10;Hadley5@yahoo.com;Administrator enable;2053;Fadel;Tate;EXE zero
